 Mon, 17 Dec 2018 17:10:46  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Mon, 17 Dec 2018 17:10:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Mon, 17 Dec 2018 17:10:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Mon, 17 Dec 2018 17:10:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Mon, 17 Dec 2018 17:10:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：3509
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：3509
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:49  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[9]/div[4]/div/div[2]/div[2]/div/ul[1]/li[1]/div[2]/div[1]
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py scroll_intoView [ line:122 ] 将元素滚动到可见区域。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='v-list headline-b']//div[@class='v-shop clearfix']//p
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py scroll_intoView [ line:122 ] 将元素滚动到可见区域。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py get_element_attribute [ line:173 ] =====获取元素的属性值：src
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='tab-cont clearfix']//div[@class='v-img']
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py scroll_intoView [ line:122 ] 将元素滚动到可见区域。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='tab-pic']//div[@class='video-bg']/span
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py scroll_intoView [ line:122 ] 将元素滚动到可见区域。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[9]/div[4]/div/div[2]/div[2]/div/ul[1]/li[1]/div[2]/div[1]
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Mon, 17 Dec 2018 17:10:51  INFO BasePage.py scroll_intoView [ line:122 ] 将元素滚动到可见区域。
