 Sat, 15 Dec 2018 21:46:11  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='search']
 Sat, 15 Dec 2018 21:46:11  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:11  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:11  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:11  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//i[@class='s-icon i-search']
 Sat, 15 Dec 2018 21:46:11  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:11  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:12  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:12  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='goods-pic']
 Sat, 15 Dec 2018 21:46:12  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:12  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:12  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:12  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Sat, 15 Dec 2018 21:46:12  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:1.38秒
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//a[@class='join-cart login']
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:13  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.06秒
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='nav-cart']//a[contains(text(),'购物车')]
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='Unick']/a
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:14  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//label[@class='all-che']
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//p[text()='已选商品']/span
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']//span
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:15  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sat, 15 Dec 2018 21:46:32  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sat, 15 Dec 2018 21:46:32  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='hot']//a[text()='秀百贝商城']
 Sat, 15 Dec 2018 21:46:32  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sat, 15 Dec 2018 21:46:32  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
