 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：4299
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：4299
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:38  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Sun, 16 Dec 2018 23:50:41  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:41  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='hot']//a[text()='秀百贝商城']
 Sun, 16 Dec 2018 23:50:41  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:41  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sun, 16 Dec 2018 23:50:43  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：妲己
 Sun, 16 Dec 2018 23:50:43  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='search']
 Sun, 16 Dec 2018 23:50:43  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:43  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sun, 16 Dec 2018 23:50:43  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:43  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//i[@class='s-icon i-search']
 Sun, 16 Dec 2018 23:50:43  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:44  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.10秒
 Sun, 16 Dec 2018 23:50:44  INFO BasePage.py click [ line:127 ] =====执行点击事件======
