 Fri, 14 Dec 2018 19:45:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='search']
 Fri, 14 Dec 2018 19:45:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:45:51  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//i[@class='s-icon i-search']
 Fri, 14 Dec 2018 19:45:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:52  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:45:52  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:52  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='goods-pic']
 Fri, 14 Dec 2018 19:45:52  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:52  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:45:53  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Fri, 14 Dec 2018 19:45:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:1.19秒
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//a[@class='join-cart login']
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='nav-cart']//a[contains(text(),'购物车')]
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:54  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.11秒
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='Unick']/a
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//label[@class='all-che']
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//p[text()='已选商品']/span
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']//span
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:45:58  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
